,NOD32,SUPERAntiSpyware,Acronis,TrendMicro-HouseCall,Command,eGambit,Baidu-International,Antiy-AVL,Paloalto,SymantecMobileInsight,Babable,DrWeb,F-Prot,CAT-QuickHeal,Zoner,McAfee,Invincea,SecureWeb-Gateway,TACHYON,FireEye,CrowdStrike,NOD32Beta,AVware,AhnLab-V3,Baidu,AhnLab,K7GW,Authentium,Cynet,NOD32v2,VIRobot,McAfee-GW-Edition,MaxSecure,AVG,Tencent,VirusBuster,VIPRE,TheHacker,AntiVir,TrendMicro,UNA,Norman,Cybereason,eTrust-InoculateIT,McAfee+Artemis,PCTools,Endgame,Elastic,PandaBeta2,CyrenCloud,Avast,Fortinet,Prevx1,AegisLab,McAfeeBeta,eTrust-Vet,Agnitum,Ikarus,ESET-NOD32,VBA32,BitDefenderTheta,Kaspersky,Arcabit,Bkav,ZoneAlarm,a-squared,ahnlab,NANO-Antivirus, CarpeDiem (v),DrWebSE,PandaB3,Comodo,Panda,ViRobot,PandaBeta,eScan,Prevx,Cylance,T3,Gridinsoft,Alibaba,Kaspersky21,Malwarebytes3,Avast-Mobile,Sunbelt,CMC,Jiangmin,MicroWorld-eScan,eSafe,Kingsoft,Emsisoft,Zillya,ByteHero,Avira,Yandex,APEX,F-Prot4,K7AntiVirus,Symantec,ALYac,ClamAV,Trapmine,SophosML,nProtect,Webwasher-Gateway,Antivir7,Microsoft,Cyren,Sangfor,Malwarebytes,TotalDefense,MAX,Sophos,WhiteArmor,Webroot,Trustlook,Avast5,F-Secure,FileAdvisor,SentinelOne,Qihoo-360,BitDefender,Ewido,Commtouch,GData,BitDefenderFalx,SAVMail,Ad-Aware,FortinetBeta,Rising
T3,0.0,0.0,0.0,0.0,0.0,0.0,4.975e-05,0.0,0.0,0.0,0.0,9.21e-06,0.0,0.0,7.144e-05,0.0,0.0,0.0,0.0,4.6e-07,0.0,0.0,0.00100604,0.0,0.00016276,0.0,8.88e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.51e-06,1.55e-06,1.509e-05,0.00107601,0.0,0.0,0.0,0.00529101,3.98e-06,0.0,0.0,0.0,0.000174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34e-06,0.00416264,0.0,0.00041931,0.0,0.00012322,2.53e-06,0.0,0.00014224,0.0,0.0,0.0,0.0,0.0,0.0,4.865e-05,0.0,2.11e-06,0.0,0.0004158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00351151,0.0,1.59e-06,1.74e-06,0.00026413,0.0,0.0,0.0,0.0,0.0,1.98e-06,0.0,0.0,0.00018083,0.0,3e-06,0.0,0.0,0.0,2.91e-06,0.00059809,0.0,0.0,0.0,0.0003639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.573e-05,0.0,0.0,8.59e-06,1.5e-06,0.0,0.0,2.014e-05,0.0,0.0,1.97e-06,0.0,1.056e-05
Gridinsoft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-06,0.0,0.0,5.19e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alibaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaspersky21,0.0,0.0,0.0,0.0,0.0,0.0,4.15e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272e-05,0.0,3.141e-05,0.0,0.0,6.325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.59e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malwarebytes3,0.0,0.00083373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14e-06,0.0,6.342e-05,0.0001438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088433,0.0,0.0,0.0,0.0,0.0,0.0,0.00793651,1.011e-05,0.0,0.0,4.34e-06,0.00021019,0.0,0.00010173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98e-06,0.0,0.0,0.0,0.00013409,0.0,0.0,0.0,0.0,0.0,0.00063171,0.0,0.0,0.0,0.0,0.00272176,0.0,0.0,0.0,0.0,0.00020058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avast-Mobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00151132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00542453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunbelt,0.0,0.00104822,0.0,0.0,0.0,0.0,0.00063026,0.00025216,0.0,0.0,0.0,3.63e-05,1.585e-05,0.0003918,0.00084831,6.63e-06,0.0,0.00396699,0.0,1.919e-05,0.0,0.0,0.08482184,4.33e-06,0.00036301,0.00019948,8.51e-06,5.571e-05,0.0,0.0,0.0,5.726e-05,3.36e-05,1.38e-05,2.459e-05,4.216e-05,0.08213391,0.0,2.391e-05,0.0,0.00133308,7.8e-06,0.0,0.0,0.00038526,0.00529801,0.0,0.0,0.0,0.0,0.0,0.0,0.00076672,1.925e-05,0.00037411,0.0,1.7e-05,0.01507077,0.0,0.01859049,0.0,0.00551457,0.00034194,0.0,0.0021203,0.00121762,0.0,0.0,0.0,0.0,0.0,0.00037758,0.0,0.0,0.0,0.00247729,0.0,0.0,0.00351151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.73e-06,0.00030293,0.00080118,0.0,2.013e-05,0.0,0.00019275,4.54e-06,7.83e-06,0.0,0.0,0.00932269,0.00358351,0.00039035,3.265e-05,0.0,0.0,0.00045305,0.00306232,0.0,0.0,1.05e-05,0.0007873,0.00151336,0.0,0.0,0.000203,0.0,0.00040177,0.0,0.0,0.00464394,0.0,0.0,1.648e-05,0.00039234,0.00199967,1.262e-05,0.00068162,0.0,0.0,0.00032583,0.0,8.389e-05
CMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiangmin,1.517e-05,0.0,0.0,0.0,0.0,1.59e-06,5.288e-05,2.47e-05,0.0,0.0,0.0,5.24e-06,2.67e-06,0.00143817,1.56e-06,2.9e-07,0.0,3.17e-06,0.0,3.6e-07,0.0,6.33e-06,1.57e-06,5.382e-05,0.0,0.0,0.0,0.0,0.0,3.17e-06,0.0,1.033e-05,9.82e-06,4.159e-05,1.02e-05,0.0,1.56e-06,0.00364537,2.936e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.46e-06,0.0,0.0,0.0,0.0,0.0,6.05e-06,0.0,0.0,0.0,1.709e-05,2.33e-06,2.145e-05,4.029e-05,0.00070295,0.0,7.577e-05,1.95e-06,0.0,6.475e-05,0.0,0.0,0.0,0.0,0.0,1.59e-06,6.73e-06,1.393e-05,0.0,1.59e-06,0.0,0.0,0.0,1.59e-06,0.0,0.0,1.59e-06,0.0,0.0,4.73e-06,0.0,1.0,2.49e-06,4.69e-06,0.0,0.0,0.0,0.0,5.92e-06,0.0,0.0,0.0,8e-06,0.0,5.2e-06,0.0,0.0,0.0,1.03e-06,1.59e-06,0.0,0.0,3.68e-06,6.33e-06,9.3e-06,5.839e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-06,0.0,0.0,1.34e-06,1.54e-06,1.905e-05,1.42e-06,3.14e-06,1.59e-06,0.0,8.8e-07,0.0,2.633e-05
MicroWorld-eScan,0.0,0.0,0.0,0.0,0.0,0.0,1.101e-05,0.0,0.0,0.0,0.0,0.00014752,7.17e-06,7.306e-05,4.576e-05,0.0,0.0,2.944e-05,0.0,0.01300894,0.0,0.0,2.23e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.207e-05,1.514e-05,0.0,8.2e-07,0.00011834,8.7e-05,0.0,0.0,0.0,1.73e-06,0.0,0.0,0.0,1.67e-06,4.297e-05,0.0,0.0,1.74e-06,0.0,0.0,2.58e-06,1.74e-06,1.48e-06,0.0,0.0,0.00015378,0.00043526,1.35e-06,7.484e-05,0.00040829,2.02e-06,0.08871106,0.0,2.61e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.431e-05,0.0,5.528e-05,0.0,0.00252526,0.0,0.0,1.74e-06,0.0,0.0,0.0,0.0,0.0,0.00030293,0.0,2.49e-06,1.0,8.513e-05,1.815e-05,0.0,0.0,0.0,1.26e-06,0.00012479,0.0,0.0,0.0,3.046e-05,0.56857283,8.27e-06,0.0,0.0,0.07940739,3.982e-05,0.0,0.0,5.25e-06,1.382e-05,0.00012495,4.74e-06,0.0,0.0,0.0,3.41e-06,0.0,0.0,0.37771228,0.0,0.0,1.44e-06,0.8535745,8.66e-06,3.07e-06,0.72084059,1.908e-05,0.0,0.87463008,0.0,4.04e-06
